epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.55977,2.45718,2.77126,2.42358,0.02037,0.7971,0.02321,0.00481,2.26541,3.10713,2.72501,0,0,0
2,2.5654,2.44025,2.8005,2.40924,0.02037,0.7971,0.02228,0.00477,2.26541,3.10713,2.72501,0.000653467,0.000653467,0.000653467
3,3.55113,2.43982,2.80974,2.38102,0.02037,0.7971,0.02228,0.00477,2.26541,3.10713,2.72501,0.00128053,0.00128053,0.00128053
4,4.517,2.43104,2.83519,2.27238,0.02,0.78261,0.01999,0.00468,2.2264,3.11109,2.70646,0.0018812,0.0018812,0.0018812
5,5.52803,2.4388,2.81518,2.37118,0.02,0.78261,0.01999,0.00468,2.2264,3.11109,2.70646,0.0018416,0.0018416,0.0018416
6,6.51947,2.15248,2.84502,2.20915,0.02,0.78261,0.01999,0.00468,2.2264,3.11109,2.70646,0.001802,0.001802,0.001802
7,7.39328,2.35646,2.83593,2.26442,0.02,0.78261,0.01873,0.00445,2.22601,3.10822,2.71518,0.0017624,0.0017624,0.0017624
8,8.27361,2.43287,2.96872,2.31987,0.02,0.78261,0.01873,0.00445,2.22601,3.10822,2.71518,0.0017228,0.0017228,0.0017228
9,9.24289,2.32373,2.79637,2.29487,0.02,0.78261,0.01873,0.00445,2.22601,3.10822,2.71518,0.0016832,0.0016832,0.0016832
10,10.1398,2.36762,2.83069,2.30909,0.01963,0.76812,0.01873,0.00429,2.22729,3.10607,2.72137,0.0016436,0.0016436,0.0016436
11,11.0316,2.29615,2.87837,2.3025,0.01963,0.76812,0.01873,0.00429,2.22729,3.10607,2.72137,0.001604,0.001604,0.001604
12,12.0081,2.39345,3.01727,2.34016,0.01963,0.76812,0.01873,0.00429,2.22729,3.10607,2.72137,0.0015644,0.0015644,0.0015644
13,12.9788,2.31948,2.8333,2.25785,0.02407,0.94203,0.05945,0.01272,2.20988,3.11302,2.87944,0.0015248,0.0015248,0.0015248
14,13.8431,2.34725,2.92671,2.41599,0.02407,0.94203,0.05945,0.01272,2.20988,3.11302,2.87944,0.0014852,0.0014852,0.0014852
15,14.7163,2.01893,2.80562,2.19561,0.02407,0.94203,0.05945,0.01272,2.20988,3.11302,2.87944,0.0014456,0.0014456,0.0014456
16,15.5492,2.18199,2.70458,2.29246,0.02556,1,0.25397,0.07999,1.98557,2.72046,2.24569,0.001406,0.001406,0.001406
17,16.4932,1.72188,2.32555,1.83337,0.02556,1,0.25397,0.07999,1.98557,2.72046,2.24569,0.0013664,0.0013664,0.0013664
18,17.4586,1.82321,2.39103,1.88965,0.02556,1,0.25397,0.07999,1.98557,2.72046,2.24569,0.0013268,0.0013268,0.0013268
19,18.2787,1.74755,2.37005,1.85113,0.82214,0.40203,0.67086,0.30229,1.74064,2.08387,1.60286,0.0012872,0.0012872,0.0012872
20,19.0746,1.49828,1.82565,1.6971,0.82214,0.40203,0.67086,0.30229,1.74064,2.08387,1.60286,0.0012476,0.0012476,0.0012476
21,19.86,1.48035,1.78801,1.61855,0.82214,0.40203,0.67086,0.30229,1.74064,2.08387,1.60286,0.001208,0.001208,0.001208
22,20.8595,1.46541,1.7936,1.68546,0.60506,0.33306,0.50276,0.18965,2.13853,2.06167,1.93381,0.0011684,0.0011684,0.0011684
23,21.7665,1.5283,1.84576,1.53299,0.60506,0.33306,0.50276,0.18965,2.13853,2.06167,1.93381,0.0011288,0.0011288,0.0011288
24,22.5588,1.4546,1.64494,1.62761,0.60506,0.33306,0.50276,0.18965,2.13853,2.06167,1.93381,0.0010892,0.0010892,0.0010892
25,23.3698,1.52238,1.81708,1.63928,0.56601,0.42029,0.44026,0.13709,2.33068,2.09539,2.25168,0.0010496,0.0010496,0.0010496
26,24.193,1.39546,1.4125,1.50267,0.56601,0.42029,0.44026,0.13709,2.33068,2.09539,2.25168,0.00101,0.00101,0.00101
27,25.1431,1.41947,1.49135,1.52989,0.56601,0.42029,0.44026,0.13709,2.33068,2.09539,2.25168,0.0009704,0.0009704,0.0009704
28,26.1195,1.35741,1.45669,1.4703,0.51047,0.49878,0.56395,0.21125,2.10567,1.85419,2.02229,0.0009308,0.0009308,0.0009308
29,26.9188,1.2402,1.33146,1.37758,0.51047,0.49878,0.56395,0.21125,2.10567,1.85419,2.02229,0.0008912,0.0008912,0.0008912
30,27.7647,1.43057,1.46724,1.54279,0.51047,0.49878,0.56395,0.21125,2.10567,1.85419,2.02229,0.0008516,0.0008516,0.0008516
31,28.6313,1.30875,1.38933,1.45067,0.53173,0.64186,0.64908,0.24437,2.05275,1.6807,1.99759,0.000812,0.000812,0.000812
32,29.4627,1.23094,1.19258,1.38687,0.53173,0.64186,0.64908,0.24437,2.05275,1.6807,1.99759,0.0007724,0.0007724,0.0007724
33,30.3365,1.26639,1.22174,1.39496,0.53173,0.64186,0.64908,0.24437,2.05275,1.6807,1.99759,0.0007328,0.0007328,0.0007328
34,31.251,1.16001,1.20743,1.33314,0.6868,0.66667,0.69447,0.27146,1.95546,1.59008,1.88052,0.0006932,0.0006932,0.0006932
35,32.1833,1.21823,1.50552,1.42768,0.6868,0.66667,0.69447,0.27146,1.95546,1.59008,1.88052,0.0006536,0.0006536,0.0006536
36,33.2294,1.31216,1.26307,1.51664,0.6868,0.66667,0.69447,0.27146,1.95546,1.59008,1.88052,0.000614,0.000614,0.000614
37,34.1723,1.33165,1.23515,1.5175,0.67965,0.73913,0.70776,0.30441,1.97068,1.58226,1.83788,0.0005744,0.0005744,0.0005744
38,35.0515,1.17117,1.20603,1.35777,0.67965,0.73913,0.70776,0.30441,1.97068,1.58226,1.83788,0.0005348,0.0005348,0.0005348
39,36.0587,1.43079,1.44676,1.43807,0.67965,0.73913,0.70776,0.30441,1.97068,1.58226,1.83788,0.0004952,0.0004952,0.0004952
40,36.9234,1.18964,1.12458,1.36488,0.71534,0.73913,0.72944,0.31502,1.92926,1.5464,1.79741,0.0004556,0.0004556,0.0004556
41,37.7746,0.88809,1.05353,1.10943,0.71534,0.73913,0.72944,0.31502,1.92926,1.5464,1.79741,0.000416,0.000416,0.000416
42,38.7676,1.01742,1.1599,1.19719,0.71534,0.73913,0.72944,0.31502,1.92926,1.5464,1.79741,0.0003764,0.0003764,0.0003764
43,39.706,1.16174,1.19901,1.30184,0.76257,0.73913,0.79358,0.3739,1.75901,1.46154,1.63859,0.0003368,0.0003368,0.0003368
44,40.6695,1.0264,1.10135,1.1818,0.76257,0.73913,0.79358,0.3739,1.75901,1.46154,1.63859,0.0002972,0.0002972,0.0002972
45,41.6781,1.00574,1.19836,1.23129,0.76257,0.73913,0.79358,0.3739,1.75901,1.46154,1.63859,0.0002576,0.0002576,0.0002576
46,42.6099,1.17417,1.25933,1.41382,0.81434,0.76289,0.84776,0.46418,1.56779,1.33249,1.48979,0.000218,0.000218,0.000218
47,43.4553,0.90902,1.02715,1.12843,0.81434,0.76289,0.84776,0.46418,1.56779,1.33249,1.48979,0.0001784,0.0001784,0.0001784
48,44.454,0.97611,1.06889,1.15212,0.81434,0.76289,0.84776,0.46418,1.56779,1.33249,1.48979,0.0001388,0.0001388,0.0001388
49,45.3201,0.92476,1.08256,1.17124,0.88815,0.80563,0.89339,0.53032,1.39213,1.22805,1.35613,9.92e-05,9.92e-05,9.92e-05
50,46.2138,0.90307,1.03162,1.17432,0.88815,0.80563,0.89339,0.53032,1.39213,1.22805,1.35613,5.96e-05,5.96e-05,5.96e-05
